target_collaboration_id,name,batch_name,creator_open_id,end_time
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,8ildEAAAAACOV4AEeERJl-yievH_HBssh3cfLFFTmB6ZVtkuMODOtw,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,p2nZkwAAAACOV4AEeERJl-yievH_HBssf6swDgu938y_f9g56D-Mgg,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,Lf-P7wAAAACOV4AEeERJl-yievH_HBss4KJTHDiQSoGNs6dD-YgQdg,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,XH9pEwAAAACOV4AEeERJl-yievH_HBsshvRkAmtObH3h3Gz02Gl1NA,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,eN7qUwAAAACOV4AEeERJl-yievH_HBssv5_s-CAXTH2ZW_rCo5g4uQ,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,ivEKeQAAAACOV4AEeERJl-yievH_HBssUuHmbrEaf6qbQdMwK_HCzg,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,xDaTwgAAAACOV4AEeERJl-yievH_HBssBlNet4IeCjIEy5sX0xWw4w,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,j7m0AwAAAACOV4AEeERJl-yievH_HBsseNgoXGgr-dk8c_VI2tdwng,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,QYcEfAAAAACOV4AEeERJl-yievH_HBssBWUDi6QCufgHSIAQ579G0g,2101132799
7661970532174645000,Health_202606_04k-06k_01,Health_202606_04k-06k,6XI2cgAAAACOV4AEeERJl-yievH_HBssPrqy9M9_c4ZtFVGHS5jz1Q,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,tF5-0gAAAACOV4AEeERJl-yievH_HBssg07ZOWOk_gz-w8Dnu2sE7A,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,QY1g_QAAAACOV4AEeERJl-yievH_HBssYqFgquEEh1_GhVIo9mmViQ,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,SFlR0gAAAACOV4AEeERJl-yievH_HBsshSTXDU91npXwKnyUkhVtvg,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,qNj9nwAAAACOV4AEeERJl-yievH_HBssJfocKBOURVjrVarHmlPUsQ,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,RpOCKgAAAACOV4AEeERJl-yievH_HBssfY4kHC9tNABZekU_-i-Qcw,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,rXu3uQAAAACOV4AEeERJl-yievH_HBssd5gjzd7rfFmAqInkDhTFBg,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,PXx4EwAAAACOV4AEeERJl-yievH_HBssNJAP-zfAdCfKQult06-7ag,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,vU057AAAAACOV4AEeERJl-yievH_HBss4U13UQss48jSz103nYZH_A,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,QZs83gAAAACOV4AEeERJl-yievH_HBssm2uwwhm_djcltyDRf_Er4Q,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,ZWnOtAAAAACOV4AEeERJl-yievH_HBss8Ugu3SZluEYN7NizdNK0FA,2101132799
7661970561066288913,Health_202606_06k-08k_01,Health_202606_06k-08k,zHM3sQAAAACOV4AEeERJl-yievH_HBssgbcLdTkhDlQW5wn90jjIIA,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,TXE2UAAAAACOV4AEeERJl-yievH_HBssMZXkAEi2Ksurw4XLLL_vsQ,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,gEyD9gAAAACOV4AEeERJl-yievH_HBssK42f0s9NoVlaXv24_jP8NA,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,FhZdSQAAAACOV4AEeERJl-yievH_HBssm6-PTQB7lILhWYGi55IYKQ,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,qqwg9QAAAACOV4AEeERJl-yievH_HBss7DGmliHU_e9KCAp9u8TGXg,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,_rpy8AAAAACOV4AEeERJl-yievH_HBss2L8cY2dYt66GVUTFDkVbKA,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,Ca9NfgAAAACOV4AEeERJl-yievH_HBssgoAF0gYGL3ChC7aYJY2exw,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,Lj-4TAAAAACOV4AEeERJl-yievH_HBssS__Oatdg_hk3lZwXKHKNDQ,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,JXvtYgAAAACOV4AEeERJl-yievH_HBssa0STHO4mAvD-ZDfOKAJyTQ,2101132799
7661970554702726929,Health_202606_08k-10k_01,Health_202606_08k-10k,bJyemwAAAACOV4AEeERJl-yievH_HBss-BecJAMg9fMWSKJa67lxhg,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,CNeAFwAAAACOV4AEeERJl-yievH_HBssS6LxZUlPTLccRCXCjq2j1Q,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,TZieUwAAAACOV4AEeERJl-yievH_HBssI6AdtFWqnVIn-UjNt8hfJQ,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,r0R2YQAAAACOV4AEeERJl-yievH_HBssHKv6ETbjNLrl6Sp1arfQ7g,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,VmssLwAAAACOV4AEeERJl-yievH_HBssJiDisTX15mmDa_Dwa_Zu_g,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,nZ3o5AAAAACOV4AEeERJl-yievH_HBssJTn5CCck1o7TsTm0igWnAw,2101132799
7661970538965059346,Health_202606_10k-12k_01,Health_202606_10k-12k,TOLwowAAAACOV4AEeERJl-yievH_HBssLm_47qMu9pExC_uCjc5s3A,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,kXsIAwAAAACOV4AEeERJl-yievH_HBssP-X9EsGUvEmk7mgmETat7Q,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,DgJBUgAAAACOV4AEeERJl-yievH_HBssKaxgT5UawWDjB6js9mmaqA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,CLHy8wAAAACOV4AEeERJl-yievH_HBss2l6AeV34t_DCCCFw1COU9w,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,F6eskwAAAACOV4AEeERJl-yievH_HBss-TN6HGI20qj9D4dLOZmfkA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,ib3rBQAAAACOV4AEeERJl-yievH_HBss1Cy3XvcpujSAma2yFrlqkg,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,_4901wAAAACOV4AEeERJl-yievH_HBssR4nRaMouflL85F_scQAyCw,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,h-gd8wAAAACOV4AEeERJl-yievH_HBss_5dnYfpH0sWHB3uvkyLn3w,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,hF-HBAAAAACOV4AEeERJl-yievH_HBss1Fg_ReBmW31N3cGIuVDDyQ,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,o1i-tgAAAACOV4AEeERJl-yievH_HBssbhlEgUHMAVWVweCRuFq9dQ,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,l3QvxwAAAACOV4AEeERJl-yievH_HBss5TpU7j8K-cJmBDPpXh_wRg,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,0d1rlwAAAACOV4AEeERJl-yievH_HBssNPVJkbLN1wRuTgdgD0TY9Q,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,S8z41AAAAACOV4AEeERJl-yievH_HBssdWLLXuLyjjSzh_q5CCYykw,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,V2dQXwAAAACOV4AEeERJl-yievH_HBssDZrW1e0eTgJDK4Sp6UyapA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,Apez4wAAAACOV4AEeERJl-yievH_HBssN6LiQnsvNTL75NdAt1HVsA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,31NOzgAAAACOV4AEeERJl-yievH_HBss7M5WIYcqdPA2hteXDvrZtw,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,q1bwEQAAAACOV4AEeERJl-yievH_HBssqrFkBfYLSmT1-APMTzD6oQ,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,9Kh0QwAAAACOV4AEeERJl-yievH_HBssTEfVeayyka3793xHX7Qesg,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,Kkd0hwAAAACOV4AEeERJl-yievH_HBssrrdiBJ3vxC1aOPw3N0RsDA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,DUoTHQAAAACOV4AEeERJl-yievH_HBsscFqbUTb80eigg19QfPCQiw,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,D7CtjAAAAACOV4AEeERJl-yievH_HBsstyv2IUv4lwUtmeq7peIXvQ,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,BjqZMQAAAACOV4AEeERJl-yievH_HBssZU1y0BjGER6NgfXTt3fXDA,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,-mRSjwAAAACOV4AEeERJl-yievH_HBsszUDhSz6aZjPZj0_BJDzW8g,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,6G5jTwAAAACOV4AEeERJl-yievH_HBssXSRJSpGRIn98mA7jSJ89ZQ,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,h3jLUwAAAACOV4AEeERJl-yievH_HBssjyZBckq79OdgFxl5wic5mg,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,T2xAHwAAAACOV4AEeERJl-yievH_HBssv1suEBvherUZCcUBt2Jttg,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,PF-s8QAAAACOV4AEeERJl-yievH_HBsstySsG3B-Ek2VHceknYL7-w,2101132799
7661985753756845845,Health_202606_00k-02k_01,Health_202606_00k-02k,GVgoNAAAAACOV4AEeERJl-yievH_HBss_1aNG4HNMUj-JnIYtQQ2EA,2101132799
